Model,ROC-AUC,F1,Precision,Recall
CatBoost,0.9997733747733748,0.96875,1.0,0.9393939393939394
XGBoost,0.9983974358974359,0.9571984435797666,0.984,0.9318181818181818
LogisticRegression,0.9568602693602695,0.8029197080291971,0.7746478873239436,0.8333333333333334
