iter	Logloss
0	0.6332707723
1	0.5816768901
2	0.5354843648
3	0.4970096842
4	0.4650008138
5	0.4365523275
6	0.4106737264
7	0.3880357361
8	0.3694304657
9	0.3524906921
10	0.3369068909
11	0.3217233276
12	0.3100438944
13	0.2997185008
14	0.2891738383
15	0.2820241801
16	0.274296875
17	0.2688432821
18	0.2631924438
19	0.2577411906
20	0.2540559642
21	0.2490642293
22	0.2439739482
23	0.2400670878
24	0.2378726196
25	0.2335567474
26	0.2300109355
27	0.2265969086
28	0.2246857198
29	0.2218285624
30	0.2185123698
31	0.2155959066
32	0.2126962026
33	0.209445521
34	0.2067948023
35	0.2028652191
36	0.2002986399
37	0.1979169083
38	0.195317866
39	0.1926111603
40	0.1907084401
41	0.1891022873
42	0.1870225779
43	0.1851582972
44	0.1839814758
45	0.182113266
46	0.180300738
47	0.1778520966
48	0.1756537628
49	0.1748589579
50	0.1737915548
51	0.1723323441
52	0.170035375
53	0.1677149709
54	0.1658839671
55	0.1650489934
56	0.1638136292
57	0.1620262527
58	0.1595720673
59	0.1578333664
60	0.1568559265
61	0.1549604034
62	0.1539201101
63	0.1529919179
64	0.1515935135
65	0.1504773585
66	0.148434906
67	0.1463836161
68	0.1453283564
69	0.1445022837
70	0.1433629735
71	0.1433044942
72	0.1417773565
73	0.1405883535
74	0.139395167
75	0.1385314814
76	0.1373628489
77	0.1363907496
78	0.135110817
79	0.1336929194
80	0.1324903615
81	0.1319926707
82	0.1313098399
83	0.1300818634
84	0.1284140269
85	0.1266903432
86	0.1258570862
87	0.1254499054
88	0.1250203705
89	0.1244107056
90	0.1235994975
91	0.1230446879
92	0.1221437327
93	0.1213497289
94	0.1209313711
95	0.1199074809
96	0.1192736562
97	0.1183126322
98	0.1173695628
99	0.1167044322
100	0.1159842682
101	0.1157174174
102	0.1156185532
103	0.1151637777
104	0.1142058818
105	0.1132678477
106	0.1129757945
107	0.112339325
108	0.11159036
109	0.110783666
110	0.1102987162
111	0.1097009532
112	0.1087570445
113	0.1077988561
114	0.1074559784
115	0.1064591599
116	0.105307579
117	0.1044646517
118	0.103562514
119	0.1031283633
120	0.1026802063
121	0.1021319771
122	0.1018450737
123	0.1009481112
124	0.1004080836
125	0.0991261673
126	0.09878451665
127	0.09806873322
128	0.09765368144
129	0.09705381393
130	0.09645490646
131	0.09607926687
132	0.09538555145
133	0.09439100266
134	0.09343742371
135	0.09289539337
136	0.09263495763
137	0.0922869873
138	0.09180587133
139	0.09131782532
140	0.09109991074
141	0.08994150798
142	0.08952817917
143	0.08900034587
144	0.08896850586
145	0.0880750529
146	0.08751402537
147	0.08726450602
148	0.08703662872
149	0.08660372416
150	0.08582298915
151	0.08516759872
152	0.08491479238
153	0.08453753153
154	0.08424429576
155	0.08383469899
156	0.08359923681
157	0.08353902817
158	0.08314823151
159	0.0827172788
160	0.0822021993
161	0.08164330165
162	0.08129278819
163	0.08109900792
164	0.08078187943
165	0.07990066528
166	0.07941806157
167	0.07902769725
168	0.07861017863
169	0.07841199239
170	0.07779953639
171	0.07693668365
172	0.0768516922
173	0.07658541361
174	0.07594647725
175	0.07574485779
176	0.07522701263
177	0.07481147766
178	0.07437143326
179	0.07404326121
180	0.07367774963
181	0.07299001058
182	0.07266610463
183	0.07251251221
184	0.07194366455
185	0.07182939529
186	0.07151337306
187	0.07094243368
188	0.07082595189
189	0.07056318919
190	0.07047932307
191	0.07027638753
192	0.07009114583
193	0.06956811905
194	0.06875450134
195	0.06853490194
196	0.0681652832
197	0.06723189036
198	0.06672780355
199	0.06636241913
200	0.06591766357
201	0.06574632009
202	0.0655991745
203	0.06541295369
204	0.06502591451
205	0.06479923248
206	0.06430563609
207	0.06401622772
208	0.06374144236
209	0.06364250183
210	0.06355021159
211	0.06299210866
212	0.06268641154
213	0.06219461441
214	0.06173421224
215	0.06107175191
216	0.06051630656
217	0.05995729446
218	0.05975411733
219	0.05961315791
220	0.05939509074
221	0.05917999268
222	0.05867254893
223	0.05851243973
224	0.05797530492
225	0.05779579163
226	0.05709344228
227	0.0567691803
228	0.05636936188
229	0.05599755605
230	0.05574919383
231	0.05540139516
232	0.05516032537
233	0.05485829671
234	0.05456718445
235	0.05444217682
236	0.05442901611
237	0.05412871043
238	0.05379453023
239	0.05365650177
240	0.05345477422
241	0.05302284559
242	0.05253376961
243	0.05250940959
244	0.05224702517
245	0.05207405726
246	0.05159248988
247	0.05121211688
248	0.05104111354
249	0.05085305214
250	0.05029872259
251	0.05005442937
252	0.05004194578
253	0.04964831034
254	0.04945605278
255	0.04935718854
256	0.04906768799
257	0.04881441116
258	0.04860325178
259	0.04822490056
260	0.04821719488
261	0.04807363192
262	0.04806423823
263	0.04777069728
264	0.04763885816
265	0.04723656972
266	0.04707639058
267	0.04684254964
268	0.04634714762
269	0.04615942319
270	0.04615372976
271	0.04591164907
272	0.04531155904
273	0.04500666936
274	0.04489285787
275	0.04477434476
276	0.04450565974
277	0.04430161794
278	0.04429677963
279	0.04406059583
280	0.04368358612
281	0.04359239578
282	0.04344991684
283	0.0431061554
284	0.04286927223
285	0.04275393804
286	0.04268923124
287	0.04222868284
288	0.04212579409
289	0.04184220632
290	0.04159425735
291	0.04139698664
292	0.04114770889
293	0.04110360146
294	0.04096616427
295	0.04091244698
296	0.04075054804
297	0.040647192
298	0.0404060936
299	0.04001011531
300	0.03991923014
301	0.03976900736
302	0.03951653481
303	0.03936766307
304	0.03926591873
305	0.03921888351
306	0.03889544805
307	0.03867237409
308	0.03814568837
309	0.03799163183
310	0.03790337563
311	0.03767332395
312	0.03760442098
313	0.0375304985
314	0.03737046242
315	0.03723278046
316	0.03695010503
317	0.03680859566
318	0.03657616933
319	0.03645833969
320	0.03620476405
321	0.03604440053
322	0.03583881696
323	0.03566470464
324	0.03558869044
325	0.03550506592
326	0.03538335164
327	0.03517813365
328	0.03509494781
329	0.03496930122
330	0.03439552943
331	0.03398645401
332	0.03388388952
333	0.03380567551
334	0.033726209
335	0.03354958216
336	0.03312380473
337	0.03301662127
338	0.03274887721
339	0.03273206711
340	0.03264283498
341	0.03257674853
342	0.0325650533
343	0.03250475248
344	0.0323602136
345	0.0322724088
346	0.03196661949
347	0.03186199824
348	0.03177069028
349	0.03171036084
350	0.03167854627
351	0.03166350683
352	0.03149274826
353	0.03129837036
354	0.03121154785
355	0.03100387891
356	0.03091302872
357	0.03071674347
358	0.0304984506
359	0.03040035248
360	0.03013441086
361	0.03008050283
362	0.02985376676
363	0.02980944316
364	0.02976510366
365	0.02965536435
366	0.02953205109
367	0.02945988973
368	0.02939472198
369	0.02925794919
370	0.02921115239
